Time,X,Y,Z,u,v,w,p,q,r,phi (rad),theta (rad),psi (rad),u_p,u_q,u_r,t_x,t_y,t_z,Mx,My,Mz
33.9,17.0754547119141,59.790657043457,30.0068321228027,-3.54811451826751,-3.59843436630188,1.62062119323315,-0.0613903552293777,0.0879328548908234,-0.0464609265327454,0.235762880260826,-0.229634139220939,1.45143400471338,-0.000623619300313294,-0.00235751434229314,-0.00513502024114132,0,0,-0.366700917482376,0.887439417382237,-0.135477532672628,1.10896328266758
34,17.4199962615967,59.380916595459,30.0003147125244,-3.69634555541618,-3.77094581481734,1.64517442276244,-0.058980043977499,0.0810567289590836,-0.0279704555869103,0.230203808569258,-0.220817265386494,1.4495937065531,-0.00186559825669974,-0.00183985114563257,-0.00535759422928095,0,0,-0.366700917482376,0.163122674219109,-0.107563795897458,1.67215259265611
34.1,17.8058967590332,58.9224624633789,29.9927387237549,-3.84478529385993,-3.94307715258722,1.66843249328278,-0.0565541498363018,0.0609544813632965,-0.0175185836851597,0.224134732094598,-0.213761833796687,1.44872508173014,-0.00186559825669974,-0.00183985114563257,-0.00535759422928095,0,0,-0.366827994585037,0.173112428628283,-0.308981158723052,0.949613479277854
34.2,18.1733551025391,58.4863891601562,29.9862270355225,-3.97560426565039,-4.08792912450838,1.6916284898249,-0.0521697252988815,0.0390611849725246,0.00242278422228992,0.218372015302978,-0.208519947388157,1.44884312545992,-0.0037593524903059,-0.00232056202366948,-0.0045005651190877,0,0,-0.366827994585037,0.327774597506296,-0.33478668851692,1.78487182792117
34.3,18.5851974487305,57.998664855957,29.9798488616943,-4.11503286555528,-4.23210481212266,1.71859795909553,-0.046319667249918,0.0348485559225082,0.00477525312453508,0.213075254246688,-0.204707752882238,1.44994216559688,-0.0037593524903059,-0.00232056202366948,-0.0045005651190877,0,0,-0.366921007633209,0.437639113024762,-0.0641369254311105,0.218706534350407
34.4,18.9841747283936,57.5289726257324,29.9760284423828,-4.24193513132357,-4.36037187416791,1.74181914578384,-0.0529672503471375,0.0310748834162951,0.00868423655629158,0.207902603330551,-0.201862529889057,1.4513885883748,-0.00455812131986022,-0.00581670925021172,-0.00567374005913734,0,0,-0.366921007633209,-0.493923517392872,-0.057079417756658,0.357269117280607
34.5,19.4248924255371,57.0090751647949,29.9716053009033,-4.37747466044395,-4.48592978899999,1.7577409291448,-0.0494193807244301,0.0424731597304344,0.0241334438323975,0.202145197218403,-0.198904775218646,1.45380615373669,-0.0033717886544764,-0.003286566818133,-0.00483752181753516,0,0,-0.36682853102684,0.272215247658448,0.176099131190324,1.38588158054595
34.6,19.8395404815674,56.5191459655762,29.9673519134521,-4.50041886067377,-4.58844180714996,1.76432041056594,-0.0414687246084213,0.0487942509353161,0.0253153163939714,0.197061715878096,-0.194726560252893,1.45710697306334,-0.0033717886544764,-0.003286566818133,-0.00483752181753516,0,0,-0.36682853102684,0.602210326642922,0.0982139006886903,0.117067442376176
34.7,20.3000526428223,55.9750862121582,29.9631271362305,-4.63027662778491,-4.6907881656674,1.77404030247092,-0.0409610383212566,0.0360991135239601,0.0315000489354134,0.192564432479222,-0.190771500137396,1.46070841750585,-0.0033717886544764,-0.003286566818133,-0.00483752181753516,0,0,-0.366661041975021,0.046242628503505,-0.192390509556208,0.558591159966627
34.8,20.7401008605957,55.4566116333008,29.9602012634277,-4.74805921162295,-4.78110970744027,1.78118308584867,-0.0408948138356209,0.0444893352687359,0.0379038192331791,0.188462190792404,-0.187231430525007,1.46454412610779,0.0110790142789483,0.0252226982265711,0.00185718946158886,0,0,-0.366661041975021,0.0173516303410997,0.130586992267685,0.580084121156442
34.9,21.2225151062012,54.8870124816895,29.9573993682861,-4.86956103355261,-4.86754096075008,1.7851544553,-0.0315139219164848,0.0429708510637283,0.0312897749245167,0.183710437456367,-0.183941869091525,1.46852286043645,0.0110790142789483,0.0252226982265711,0.00185718946158886,0,0,-0.363788634538651,0.709710412347158,-0.021822737497645,-0.579958251372603
