Time,X,Y,Z,u,v,w,p,q,r,phi (rad),theta (rad),psi (rad),u_p (controller),u_q (controller),u_r (controller),f_x (controller),f_y (controller),f_z (controller),u_p,u_q,u_r,f_x,f_y,f_z,backward_Mx,backward_My,backward_Mz,nominal_Mx,nominal_My,nominal_Mz
77.05,-19.181976318359375,10.299714088439941,26.920358657836914,-3.641669750213623,-4.638935565948486,-1.429370641708374,-0.07867737859487534,-0.9942811727523803,1.307800889015198,-0.7877528760695178,0.3480582748408249,-2.3402517876652267,-0.034298453480005264,-0.07205972075462341,-0.4434492588043213,0.0,0.0,-0.3957090377807617,1.937618057750747,-7.282693033312793,-7.022982478466163,0.0,0.0,267.64618187024746,1.3318543300043562,6.639594941301678,6.216934182741544,1.934555327798452,-7.011716207535616,-6.822291102206126
77.1,-19.389772415161133,10.016345977783203,26.83437156677246,-3.2889647483825684,-5.073710918426514,-1.467128872871399,-0.05877560004591942,-0.9186773896217345,1.305568337440491,-0.7456098307320593,0.36474466358223356,-2.2024536144220055,-0.034298453480005264,-0.07205972075462341,-0.4434492588043213,0.0,0.0,-0.3921656310558319,2.1122270690802623,-15.913763302900094,-6.776641197572797,0.0,0.0,269.7428321407118,1.3219278600993807,57.04156709373109,-1.6634632517139147,2.10952738985565,-15.636068360348936,-6.583708953500869
77.15,-19.491722106933594,9.853658676147461,26.787662506103516,-3.089456558227539,-5.2914323806762695,-1.477546215057373,-0.048713404685258865,-0.8232831954956054,1.3071234226226807,-0.7346984847522555,0.36932338425265115,-2.1689765431620587,-0.027348805218935013,-0.06036186218261719,-0.43995824456214905,0.0,0.0,-0.3921656310558319,1.9749284333605956,-22.01797097222289,-6.4179698894407595,0.0,0.0,268.09227654172844,0.0013451922571885433,71.72874357797319,1.621095045429526,1.9717435829061534,-21.74943215375737,-6.251624869462898
77.2,-19.686851501464844,9.485413551330566,26.68754005432129,-2.6544504165649414,-5.717433929443359,-1.4890154600143433,-0.04390169307589531,-0.6357799768447875,1.3053584098815918,-0.6911330853807279,0.3923432235029271,-2.0414710873827975,-0.027348805218935013,-0.06036186218261719,-0.43995824456214905,0.0,0.0,-0.3921656310558319,2.20130923764685,-25.645584023029613,-6.134481849144976,0.0,0.0,266.0101390196439,-0.4471072856210485,140.4872601963915,-1.4030210132549268,2.197434921811802,-25.372570160061986,-6.0054968843657095
77.25,-19.778200149536133,9.278624534606934,26.63422966003418,-2.4217207431793213,-5.923569202423096,-1.4921705722808838,-0.05479193851351738,-0.5073328614234923,1.2993648052215576,-0.6805227786304395,0.3996340268990611,-2.011482058793622,-0.04729905724525452,-0.07703180611133575,-0.45815029740333557,0.0,0.0,-0.3904121220111847,1.2500171539832543,-26.942468672947477,-5.770214978023323,0.0,0.0,261.4684870190582,-2.591396166344321,96.47470028041809,-5.162917924623819,1.2455279233402936,-26.68677597270932,-5.677806647408817
77.3,-19.92460823059082,8.897568702697754,26.539297103881836,-2.0127179622650146,-6.255744934082031,-1.5008652210235596,-0.05312175303697586,-0.3095873296260832,1.2903751134872437,-0.6395459848245189,0.43613371756406966,-1.8990837677420545,-0.041247908025979996,-0.06364211440086365,-0.455918550491333,0.0,0.0,-0.3868829309940338,-0.927445747141693,-22.39900311742785,-5.4213404546886155,0.0,0.0,251.6245484510139,-0.31339878311835667,148.22110355498907,-7.893983312881862,-0.932622969597133,-22.134955507011064,-5.367209027774108
77.35,-19.995473861694336,8.67380428314209,26.4853515625,-1.7932324409484863,-6.4258856773376465,-1.5157299041748047,-0.017484042793512344,-0.20093014836311324,1.2834898233413696,-0.6290344811923834,0.4470344920505195,-1.8726601542961403,-0.041247908025979996,-0.06364211440086365,-0.455918550491333,0.0,0.0,-0.3868829309940338,-0.22266118662202317,-15.920569454514066,-5.080898671128198,0.0,0.0,244.36653940388115,5.0507256001167855,81.33230155908159,-6.100120165372706,-0.228184247541839,-15.65379303144952,-5.042049797055726
77.4,-20.107709884643555,8.234039306640625,26.381298065185547,-1.3929903507232666,-6.722078323364258,-1.5601187944412231,-0.01241943147033453,-0.08836693316698059,1.275217890739441,-0.5836937172171119,0.49528289675195053,-1.770369320975974,-0.038918428122997284,-0.06817798316478729,-0.4524074196815491,0.0,0.0,-0.3868829309940338,1.1644098050842508,-7.950953766135717,-4.893568793018374,0.0,0.0,241.45251136118074,0.6098052474665074,84.20144398798297,-7.347218154043895,1.1588947959367928,-7.6676788015874635,-4.8761982222277735
77.45,-20.15065574645996,8.018924713134766,26.33102798461914,-1.210273265838623,-6.854610443115234,-1.5848575830459595,-0.021916678175330162,-0.05873865261673912,1.271856427192688,-0.5717749800991756,0.5078659470215932,-1.7450811659028678,-0.038918428122997284,-0.06817798316478729,-0.4524074196815491,0.0,0.0,-0.3868829309940338,1.4260278592034759,-1.7843278545826422,-4.640495827047465,0.0,0.0,239.67446413691403,-1.5496656278137744,22.337763348190432,-2.9806813239955257,1.4207699796557365,-1.5141135085131003,-4.6321882127985035
77.5,-20.219589233398438,7.576482772827148,26.227962493896484,-0.8520861864089966,-7.113884449005127,-1.6361650228500366,-0.07217878103256226,-0.0572988055646418,1.2621532678604126,-0.5227549294554668,0.5569014988777605,-1.6419396511639666,-0.0015103293117135763,0.02321910299360752,-0.5302976369857788,0.0,0.0,-0.11999999731779099,2.3643532513253156,5.137647792053926,-4.5533498108330654,0.0,0.0,240.85979927752513,-7.742533856356112,1.7469777915793647,-8.60150088664817,2.359823951018877,5.406402112305451,-4.553485915669518
