Time,X,Y,Z,u,v,w,p,q,r,phi (rad),theta (rad),psi (rad),u_p,u_q,u_r,t_x,t_y,t_z,backward_Mx,backward_My,backward_Mz,nominal_Mx,nominal_My,nominal_Mz,central_Mx,central_My,central_Mz
1.7,6.48986911773682,-8.44356060028076,7.74998188018799,-3.57703883874897,0.0095607221136604,0.741127256384599,-0.00210385746322572,-0.0447058565914631,0.0115102035924792,0.00729223027589948,-0.164330646461608,-2.65660136629241,-0.0025572213344276,0.00207325397059321,0.00188776082359254,0,0,-0.502942800521851,-0.252982468767298,-5.11904884035488,0.681306162754207,0.125613904577532,-44.0183012128251,-0.181479334698927,-0.142627997898238,-5.16742368357977,-0.0252005362434848
1.8,6.69135904312134,-8.33976078033447,7.75369358062744,-3.65049933847503,0.0112314869069343,0.819596441465585,-0.00248571089468896,-0.385609984397888,0.00328579987399285,0.00713531130546863,-0.182293456298719,-2.65628994531543,-0.00216496409848332,0.00290755298919976,0.0019629905000329,0,0,-0.502942800521851,-0.0378116600599048,-5.21582147584389,-0.7368334841636,0.330253949258965,-37.8496557584801,-0.202239827479288,-0.963565915418966,-4.08892893095592,-0.249129731482919
1.9,6.8999137878418,-8.23190879821777,7.7581148147583,-3.72858381530048,0.0132369523573662,0.938723043738998,-0.0276867132633924,-0.579207897186279,0.00603335909545429,0.00569566360632754,-0.212096648392033,-2.65620236600642,-0.00216496409848332,0.00290755298919976,0.0019629905000329,0,0,-0.502853333950043,-1.90571480627229,-2.96180919290928,0.149162382380038,-0.190136622192379,-23.4848347461287,-0.196194725618256,-0.731070476011944,-1.85501522303966,-0.221812494293389
2,7.1439151763916,-8.10542774200439,7.76309442520142,-3.83390449958407,0.0157055481182765,1.08816331351589,-0.0213959105312824,-0.628126859664917,0.000435026828199702,0.00408186419227078,-0.249286743787201,-2.65620010300193,-0.00216496409848332,0.00290755298919976,0.0019629905000329,0,0,-0.502853333950043,0.46728274883437,-0.748446815776171,-0.57738706088263,0.290753719386911,-4.02401998048333,-0.203990437553515,0.969218397787447,1.09840843869513,-0.434956885332815
2.1,7.37037229537964,-7.98797130584717,7.76611518859863,-3.9338379405551,0.0198212712345863,1.27444683044552,-0.00164838798809797,-0.435626834630966,-0.00195902702398593,0.00312899449394082,-0.295595003310163,-2.65619080893589,0.00158780498895794,0.000401348108425736,0.00230507203377783,0,0,-0.502853333950043,1.47944624061838,2.94524576521109,-0.217089613965391,0.00474197586818728,20.845565204445,-0.195245972587594,0.68893567639079,2.21900783485363,-0.0115522579656949
2.2,7.48732280731201,-7.92732048034668,7.76690721511841,-4.01048651171866,0.0217544298219722,1.30330543712665,-0.00309417815878987,-0.33805987238884,0.000270931632258039,0.00307646527110101,-0.3017069382406,-2.65614996078014,0.00158780498895794,0.000401348108425736,0.00230507203377783,0,0,-0.502853333950043,-0.108530057325497,1.49277572108889,0.192040440922181,-0.00325217452289521,40.5163239974755,-0.203676853134334,0.394384239917618,4.43903073220039,0.199394617467229
2.3,7.75978088378906,-7.78594923019409,7.76681232452393,-4.19162830406874,0.0252903063235281,1.35807230694905,0.00894298870116472,0.14463846385479,0.00266633857972918,0.00299269156875484,-0.311070053922313,-2.65608738609896,0.00158780498895794,0.000401348108425736,0.00230507203377783,0,0,-0.502639710903168,0.900811069408498,7.38525044612635,0.205281221752502,0.480653838638734,54.8445859521598,-0.211481456471745,0.450032178122617,7.07385335557211,-0.260995372050693
2.4,8.00884532928467,-7.65803861618042,7.76177787780762,-4.38729145776666,0.0291128982988755,1.27686291400258,0.00889493059366941,0.586631298065186,-0.00542816659435637,0.0036085439239761,-0.287128754523934,-2.65612549343341,-0.000483589537907392,-0.000887478177901357,0.00220946036279202,0,0,-0.502639710903168,-0.0270218213962095,6.76255940834516,-0.750544514930764,-0.124382321069435,63.88972318265,-0.220255313485176,-0.0767255310842472,6.66412557626599,-0.303139480499042
2.5,8.26560974121094,-7.52675867080688,7.75486040115356,-4.58018618320934,0.0315687043585175,1.08347806981977,0.00751433335244656,1.01575696468353,-0.00345731666311634,0.00405678320710207,-0.237407334896759,-2.65637016164727,-0.000483589537907392,-0.000887478177901357,0.00220946036279202,0,0,-0.502639710903168,-0.128839354205647,6.56565984984549,0.12994643181167,0.208612736504538,64.2482538155487,-0.20036459424937,0.414827804744473,5.37218766709478,0.00855107751279573
2.6,8.39723300933838,-7.45932149887085,7.75183725357056,-4.67494003965609,0.0326884319597562,0.907380338450532,0.0207092631608248,1.28887319564819,-0.00421752082183973,0.00452571832214736,-0.195595970596097,-2.65640425561011,-0.000483589537907392,-0.000887478177901357,0.00220946036279202,0,0,-0.502893447875977,0.944333911095345,4.17880323245979,-0.225863421854906,0.258041084105776,57.3246397525061,-0.205213913981119,0.343260303665483,4.5264307709024,-0.504825611489237
